Family,Sub-Family,Solution Capability,Capability Narrative (Paramified),Capability Narrative (Plain Text),Responsible Role,Integrator Role,Integrator Responsibility (Paramified),Integrator Responsibility (Plain Text),End User Role,End User Responsibility (Paramified),End User Responsibility (Plain Text),Implementation Status,Stack Inheritable,Provider Origination,Integrator Origination,End User Origination,Main Component,Target Date,Target Date Remarks,Target Date Remarks (Plain Text),Suggested Mappings,Applicable Products,Applicable Collections,Stack,Reviewed By,Reviewed By Email,Reviewed At,Reviewer Notes,Approval Status,Reviewers,Evidences
Compliance Program,Compliance Vulnerability Management Requirements,Vulnerability Scan Result Sharing - project-type,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-organization"",""children"":[{""text"":""""}]},{""text"":"" shares ""},{""type"":""mention"",""value"":""Vulnerability Scanning Process:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" results and the Security Assessment Results (SAR) with the Customer ISSM, Customer ISSO, OMB MAX, and ""},{""type"":""mention"",""value"":""Authorizing Official:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" through DoD EMASS.""}]}]","#THIS ORGANIZATION shares @Vulnerability Scanning Process results and the Security Assessment Results (SAR) with the Customer ISSM, Customer ISSO, OMB MAX, and @Authorizing Official through DoD EMASS.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,Vulnerability Management Process,,,,"au-16.2_smt+NIST_800_53_REV_5
ra-5_smt.e+NIST_800_53_REV_4
ra-5_smt.e+NIST_800_53_REV_5
sa-15.7_smt.d+NIST_800_53_REV_5
si-6.3_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Site Operations,Environmental Protection,Fire Suppression Systems:,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" utilizes ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"", a ""},{""type"":""smart-tag"",""value"":""project-type"",""children"":[{""text"":""""}]},{""text"":""-compliant cloud platform that robust physical and environmental controls in data centers which include fire suppression systems.""}]}]","#THIS SYSTEM utilizes @unknown, a #PROGRAM TYPE-compliant cloud platform that robust physical and environmental controls in data centers which include fire suppression systems.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,INHERITED,,,,,,,"SO-13_smt+ADOBE_CCF_OS_V5
pe-13.1_smt+NIST_800_53_REV_4
pe-13.1_smt+NIST_800_53_REV_5
pe-13.2_smt+NIST_800_53_REV_4
pe-13.2_smt.a+NIST_800_53_REV_5
pe-13.2_smt.b+NIST_800_53_REV_5
pe-13.3_smt+NIST_800_53_REV_4
pe-13_smt+NIST_800_53_REV_4
pe-13_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
System Operations,Change Management,Post-deployment Check,"[{""type"":""p"",""children"":[{""text"":""After change deployments, the ""},{""type"":""mention"",""value"":""InfoSec Admin:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" reviews impacted security controls to ensure they are still functioning properly, and signs off in the change ticket.""}]}]","After change deployments, the @InfoSec Admin reviews impacted security controls to ensure they are still functioning properly, and signs off in the change ticket.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,Change Management Process,,,,cm-4.2_smt+NIST_800_53_REV_5,,All Jake's Test Offerings,,,,,,NOT_SET,,
Logical Identity & Access,Session Management,Logout,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" enables a logout function that requires re-authentication using authorized credentials upon session termination.""}]}]","#THIS SYSTEM enables a logout function that requires re-authentication using authorized credentials upon session termination.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,,,,,"ac-12.1_smt+NIST_800_53_REV_5
ac-12.1_smt.a+NIST_800_53_REV_4
ac-12.2_smt+NIST_800_53_REV_5",,,,,,,,NOT_SET,,
Site Operations,Environmental Protection,Emergency Shutoff:,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" utilizes ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"", a ""},{""type"":""smart-tag"",""value"":""project-type"",""children"":[{""text"":""""}]},{""text"":""-compliant cloud platform that robust physical and environmental controls in data centers which include emergency power shutoff capabilities.""}]}]","#THIS SYSTEM utilizes @unknown, a #PROGRAM TYPE-compliant cloud platform that robust physical and environmental controls in data centers which include emergency power shutoff capabilities.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,INHERITED,,,,,,,"SO-15_smt+ADOBE_CCF_OS_V5
pe-10_smt.a+NIST_800_53_REV_4
pe-10_smt.a+NIST_800_53_REV_5
pe-10_smt.b+NIST_800_53_REV_4
pe-10_smt.b+NIST_800_53_REV_5
pe-10_smt.c+NIST_800_53_REV_4
pe-10_smt.c+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
System Monitoring,Data Security Monitoring,Security Alert Escalation:,"[{""type"":""p"",""children"":[{""text"":""The ""},{""type"":""mention"",""value"":""Change Control Board:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" notifies service teams of necessary monitoring level changes based on increased risk indications, and service teams adjust monitoring in ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"".""}]}]","The @Change Control Board notifies service teams of necessary monitoring level changes based on increased risk indications, and service teams adjust monitoring in @unknown.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,,,,,"3.14.7_smt.b+NIST_800_171_REV_2
3.9.2e_smt.b+NIST_800_172_REV_2
ac-2.13_smt+NIST_800_53_REV_4
ac-2.13_smt+NIST_800_53_REV_5
at-2.6_smt.b+NIST_800_53_REV_5
cm-3.5_smt+NIST_800_53_REV_5
ir-4.14_smt+NIST_800_53_REV_5
ir-4.5_smt+NIST_800_53_REV_5
si-4_smt.e+NIST_800_53_REV_4
si-4_smt.e+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
System Operations,System Configuration,Configuration Orchestration:,"[{""type"":""p"",""children"":[{""text"":""The ""},{""type"":""mention"",""value"":""Change Control Board:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" deploys standard baseline configurations from ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" to ""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" using ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"". Code vulnerabilities are checked prior to release to stage. ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" monitors successful deployment of baseline configurations. Deployments require approval by authorized administrators, controlled by ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"".""}]}]","The @Change Control Board deploys standard baseline configurations from @unknown to #THIS SYSTEM using @unknown. Code vulnerabilities are checked prior to release to stage. @unknown monitors successful deployment of baseline configurations. Deployments require approval by authorized administrators, controlled by @unknown.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,,,,,"cm-2.1_smt.c+NIST_800_53_REV_4
cm-2.2_smt+NIST_800_53_REV_4
cm-2.2_smt+NIST_800_53_REV_5
cm-2_smt.b+NIST_800_53_REV_5
cm-3_smt.d+NIST_800_53_REV_4
cm-3_smt.d+NIST_800_53_REV_5
cm-6.1_smt+NIST_800_53_REV_4
cm-6.1_smt+NIST_800_53_REV_5
cm-6_smt.b+NIST_800_53_REV_4
cm-6_smt.b+NIST_800_53_REV_5
cna-04_smt+KSI_PHASE_1
cna-07_smt+KSI_PHASE_1
si-6_smt.a+NIST_800_53_REV_4
si-6_smt.a+NIST_800_53_REV_5
si-6_smt.b+NIST_800_53_REV_4
si-6_smt.b+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Business Continuity,Resiliency Strategy,Single Point of Failure Systems Inventory:,"[{""type"":""p"",""children"":[{""text"":""Solutions are architected with multi-availability zones using ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" by the ""},{""type"":""mention"",""value"":""Change Control Board:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"".""}]}]","Solutions are architected with multi-availability zones using @unknown by the @Change Control Board.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,,,,,"ma-6_smt+NIST_800_53_REV_4
ma-6_smt+NIST_800_53_REV_5
sc-24_smt+NIST_800_53_REV_4
sc-24_smt+NIST_800_53_REV_5
sc-5_smt+NIST_800_53_REV_4
sc-5_smt.a+NIST_800_53_REV_5
sc-5_smt.b+NIST_800_53_REV_5
sc-7.18_smt+NIST_800_53_REV_4
sc-7.18_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Business Continuity,Business Impact Analysis,Recovery Objectives,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-organization"",""children"":[{""text"":""""}]},{""text"":"" considers ""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" product portions highly available with a recovery-time objective (RTO) and recovery-point objective (RPO) defined in the ""},{""type"":""mention"",""value"":""Contingency Plan:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"". Administrative portions managed by Cloud Service Providers with SLAs for service availability.""}]}]","#THIS ORGANIZATION considers #THIS SYSTEM product portions highly available with a recovery-time objective (RTO) and recovery-point objective (RPO) defined in the @Contingency Plan. Administrative portions managed by Cloud Service Providers with SLAs for service availability.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,Contingency Plan,,,,"cp-10.4_smt+NIST_800_53_REV_4
cp-10.4_smt+NIST_800_53_REV_5
cp-2.3_smt+NIST_800_53_REV_4
cp-2.3_smt+NIST_800_53_REV_5
cp-2.4_smt+NIST_800_53_REV_4
cp-2.5_smt+NIST_800_53_REV_4
cp-2.5_smt+NIST_800_53_REV_5
cp-6.2_smt+NIST_800_53_REV_4
cp-6.2_smt+NIST_800_53_REV_5
cp-7_smt.b+NIST_800_53_REV_4
cp-7_smt.b+NIST_800_53_REV_5
rpl-02_smt+KSI_PHASE_1",,All Jake's Test Offerings,,,,,,NOT_SET,,
Compliance Program,Federal System Use Notification,System Use Notification Requirement,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" requires a login banner that users must see at every login. The ""},{""type"":""mention"",""value"":""DevOps Admin:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" works with the ""},{""type"":""mention"",""value"":""Authorizing Official:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" to approve the System Use Notification banner for ""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"".""}]}]","#THIS SYSTEM requires a login banner that users must see at every login. The @DevOps Admin works with the @Authorizing Official to approve the System Use Notification banner for #THIS SYSTEM.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,Configuration Management Plan,,,,ac-8_fr_smt.1+NIST_800_53_REV_4,,All Jake's Test Offerings,,,,,,NOT_SET,,
